country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","28-01-2026 21:00:00",21.755417,72.139056,SO2,9,38,16
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","28-01-2026 21:00:00",23.163798,72.677768,PM2.5,33,81,60
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","28-01-2026 21:00:00",23.163798,72.677768,NO2,17,89,34
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","28-01-2026 21:00:00",23.163798,72.677768,CO,16,70,45
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","28-01-2026 21:00:00",23.243639,72.68994,NO2,12,35,19
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","28-01-2026 21:00:00",23.243639,72.68994,SO2,9,15,12
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","28-01-2026 21:00:00",23.243639,72.68994,CO,1,72,23
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","28-01-2026 21:00:00",23.221714,72.654328,PM10,77,147,102
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","28-01-2026 21:00:00",20.362421,72.918013,SO2,8,19,14
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","28-01-2026 21:00:00",22.969611,72.643500,PM10,116,346,150
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","28-01-2026 21:00:00",22.969611,72.643500,CO,14,17,16
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","28-01-2026 21:00:00",30.379589,76.778328,PM10,30,74,44
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","28-01-2026 21:00:00",30.379589,76.778328,NO2,21,25,23
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","28-01-2026 21:00:00",28.6701,76.9254,SO2,7,7,7
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","28-01-2026 21:00:00",28.6701,76.9254,CO,45,52,47
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","28-01-2026 21:00:00",29.432304,76.972765,NO2,NA,NA,NA
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","28-01-2026 21:00:00",29.432304,76.972765,NH3,NA,NA,NA
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","28-01-2026 21:00:00",28.52123,76.37138,CO,31,37,34
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","28-01-2026 21:00:00",29.536400,75.015800,PM2.5,NA,NA,NA
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","28-01-2026 21:00:00",29.536400,75.015800,NH3,NA,NA,NA
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","28-01-2026 21:00:00",29.027200,77.062100,CO,12,103,21
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","28-01-2026 21:00:00",30.1480566,77.2893471,OZONE,8,33,23
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","28-01-2026 21:00:00",27.9002,76.9938,PM10,73,120,96
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","28-01-2026 21:00:00",27.9002,76.9938,NO2,18,25,21
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","28-01-2026 21:00:00",28.1485564,77.3320667,SO2,10,14,12
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","28-01-2026 21:00:00",28.3153,76.9143,PM10,8,51,24
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","28-01-2026 21:00:00",30.7057778,76.8531805555555,NO2,23,27,25
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","28-01-2026 21:00:00",30.7057778,76.8531805555555,CO,2,22,10
India,Haryana,Jind,"Police Lines, Jind - HSPCB","28-01-2026 21:00:00",29.307814,76.337619,SO2,2,3,2
India,Haryana,Jind,"Police Lines, Jind - HSPCB","28-01-2026 21:00:00",29.307814,76.337619,OZONE,5,23,17
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","28-01-2026 21:00:00",29.8006,76.4155,PM2.5,15,56,37
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","28-01-2026 21:00:00",29.695300,77.002700,PM2.5,37,77,56
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","28-01-2026 21:00:00",29.966942,76.875879,CO,2,36,25
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","28-01-2026 21:00:00",29.966942,76.875879,OZONE,4,34,24
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","28-01-2026 21:00:00",28.422681,77.148944,OZONE,6,28,18
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","28-01-2026 21:00:00",28.4227,77.0667,NH3,9,14,12
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","28-01-2026 21:00:00",28.4227,77.0667,CO,21,40,37
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","28-01-2026 21:00:00",28.4275,77.1465,NO2,50,102,71
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","28-01-2026 21:00:00",28.4275,77.1465,SO2,10,37,18
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","28-01-2026 21:00:00",34.031606,75.009712,PM10,25,195,69
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","28-01-2026 21:00:00",34.031606,75.009712,NO2,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","28-01-2026 21:00:00",34.066206,74.819820,PM10,21,51,32
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","28-01-2026 21:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","28-01-2026 21:00:00",28.593883,76.270653,NO2,9,24,15
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","28-01-2026 21:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","28-01-2026 21:00:00",28.376058,77.315741,PM2.5,76,347,152
